ID	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10
100|1	0.1230593530481089	0.1778156746901017	0.5725924604464162	0.1980903673015994	0.2605194627635314	0.0	0.0630318238856408	0.0	0.0	0.0	0.2672204250458315	0.0	0.3069081719292585	0.6076491416982376	0.1240874717819962	0.4967457126255402	0.0	0.2363106231241364	0.6833954663867206	0.2434209581028822	0.4066920371702154	0.3280535569146171	0.4397748572749834	0.4537791566593888	0.5269019549055328	0.4452984220560549	0.3814586302832988	0.4640239814355649	0.3514979297405778	0.3357035160122196
408|1	0.0	0.3614848322661771	0.0	0.0	0.2353844088224168	0.0	0.0	0.0893652624545744	0.0	0.0	0.0603597146902808	0.0	0.0	0.1029417815416121	0.0	0.0	0.0	0.0	0.1157739589834657	0.1649516826216197	0.5681554833467914	0.5167175547019766	0.6852928409637513	0.8375977111589998	0.7840522211273545	0.6894340299651098	0.6077458540441297	0.5912406087691937	0.2914564277805674	0.3721756409362087
478|1	0.1635831511164795	0.0	0.0	0.0	0.0	0.1523425170114478	0.0	0.0779132600933815	0.0	0.0889835836669327	0.1578741679033279	0.4890102186297789	0.2719826090637698	0.1346249579438873	0.0	0.2201085003892918	0.0796147248806671	0.4188378525261456	0.1514065924033582	0.1078600593614771	0.6296215557942483	0.4755970716953754	0.4239523640476517	0.4097268198633756	0.5787606181155962	0.5005303824948861	0.3145521108418277	0.5526530934072895	0.4555300229175386	0.3706186186936377
402|1	0.0	0.1572810263930505	0.0	0.0	0.0	0.0	0.0	0.1166477175373446	0.2093042217143866	0.2664432709040952	0.078787022568255	0.0813467663159932	0.0	0.4031070975311285	0.0	0.0	0.1589267505695923	0.0	0.0	0.3229650440215009	0.5365892247008247	0.5836104533724443	0.4528809287218127	0.3915054714716135	0.6663001386827466	0.5724168091019464	0.2321203444775559	0.525119281879662	0.4740106323384742	0.2839547532963379
215|1	0.0	0.0848471372052659	0.0780629092278818	0.0	0.1657471471718347	0.0	0.0601529625421806	0.1258540222116645	0.1129116742477377	0.0	0.0850052096829206	0.0	0.0	0.1449739742803519	0.0	0.0	0.2572048285875332	0.2255175748506903	0.1630456623214628	0.0	0.5529919215339755	0.3117322788752775	0.4704343758384184	0.4986553279163888	0.6322835566674471	0.2248769214549387	0.3165282644914609	0.4917739550556168	0.3295802932278368	0.532937184712309
177|1	0.0	0.4100679254538859	0.0538970878290546	0.0652606021161553	0.0	0.0566338599805005	0.0	0.0868935753980218	0.0	0.0	0.0586902704180949	0.1211941651580288	0.2022209597297286	0.0	0.0	0.0	0.1183882023148915	0.3114088536782777	0.0	0.0801947036086759	0.4304830784127627	0.298565484118483	0.5361937943812485	0.5469762001908843	0.6325590913936245	0.5775994132345399	0.7991894984681986	0.7848720399556918	0.739606826894721	0.504627966267176
559|1	0.1224628730207169	0.0	0.0	0.0	0.0	0.1710717349778747	0.1881789084756621	0.13123805005423	0.0	0.2997700774756233	0.4432086383570304	0.2745649348717921	0.0	0.0	0.0	0.2471689701841069	0.0894026787945116	0.0	0.0	0.1211205371406452	0.5075896927511451	0.3846055711158728	0.3445974834487038	0.3203271626204702	0.5745307811031126	0.5032873829924999	0.2615164780933605	0.575773032827623	0.382982564825342	0.2879619972843593
71|1	0.0	0.2258525316725548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0565683252394179	0.0	0.0	0.192951348721623	0.0788048345559341	0.0	0.0	0.4502248121830751	0.0	0.077295266215295	0.5296068841875686	0.5693003400657722	0.6873272263105169	0.6132969633468709	0.9217684058094394	0.6852235224652624	0.8098699746240928	0.9378590859532404	0.5169381883822116	0.0
70|1	0.1008978321889066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2921296207712286	0.4524311089609283	0.0	0.0	0.0	0.0	0.0	0.0	0.1400810246808105	0.0	0.6276598733842617	0.6527011363744859	0.3328619419304373	0.274868943157866	0.7709384624103348	0.5676797733182422	0.1356185810536784	0.5819623554119434	0.7220251285973263	0.3000379481877234
468|1	0.1535053382635845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3703701662071861	0.3059226190178273	0.0	0.1263311628786406	0.0	0.0	0.0	0.0	0.0	0.0	0.5918539600265235	0.6196127286875469	0.4364646780436169	0.4158497958193837	0.4730359486341216	0.4864498949197656	0.3819685340083462	0.2882836296455411	0.5931078297279951	0.5846742565475748
69|1	0.0697951392422059	0.1008510890642388	0.0927872132221579	0.2247004299291221	0.5910316194097622	0.0	0.0714990744843041	0.2493212228727486	0.0	0.0	0.1010389773306866	0.0	0.0	0.1723191102697218	0.2815130148734621	0.0	0.4076254140491094	0.2680549253158131	0.0	0.2761204125397915	0.3845762638881001	0.2923060197871635	0.4421294582624598	0.4844631628500649	0.3879708553950402	0.3466283868865245	0.19558510159038	0.3091232334137757	0.3156375830341735	0.2702316990481406
686|1	0.052586116380184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0858150925941621	0.2283789736019301	0.3143984951072901	0.0	0.0	0.0	0.1415139779218134	0.0	0.2019620227423356	0.0	0.2080388449168881	0.7298372892373106	0.4911252675751544	0.6046275584052266	0.5673797156132504	0.6853767270818517	0.3910917602802808	0.3005689671749018	0.4393588286511831	0.3842506940914517	0.3779414616288992
131|1	0.4901401955610476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7883908479371854	0.8954057201359461	0.0	0.1344578231593667	0.0	0.0	0.0	0.0	0.0	0.0	0.6192328705026071	0.5955926906736391	0.3968716381082401	0.3200262492161127	0.5608014074309426	0.5237930142735947	0.2929061350462766	0.5030123874618946	0.5226183554986884	0.3487995708283419
33|1	0.1833578489079544	0.1766296712695347	0.0	0.0	0.0	0.1707583942832393	0.1252228224743755	0.174663560087017	0.0	0.0	0.3539174741080194	0.0	0.0	0.0	0.0616299136387151	0.2467162472557996	0.2677167775999721	0.2347344673221803	0.0	0.0	0.6134044375487246	0.4099265046956503	0.552746614198628	0.4195745675840655	0.3100011885759972	0.4214420515002866	0.3967852823757806	0.410603582604073	0.360038605270097	0.3232183101970238
190|1	0.1814626953599056	0.0	0.0	0.0	0.1707380769642955	0.0	0.0	0.0432145672837515	0.0	0.4935471906727016	0.1751297235681758	0.361639169337642	0.0	0.4480181650336975	0.1219858360063286	0.0813887442556708	0.0883165684765182	0.0	0.0	0.0	0.3801086903001199	0.4149622455464752	0.3939664184073079	0.2631318141751186	0.5686643169113186	0.5125007154312757	0.3942692481145706	0.3257611571782732	0.4572903943886543	0.4278026499751831
